epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.125,,1.631690263748169
0,9,,0.375,,1.56978440284729
0,14,,0.28125,,1.5774211883544922
0,19,,0.375,,1.579261064529419
0,24,,0.375,,1.5430620908737183
0,29,,0.40625,,1.5145384073257446
0,34,,0.5,,1.4818130731582642
0,39,,0.5,,1.426649808883667
0,44,,0.5625,,1.4501821994781494
0,49,,0.5,,1.425525188446045
0,54,,0.40625,,1.449476957321167
0,59,,0.53125,,1.3733773231506348
0,62,0.3959999978542328,,1.5067170858383179,
1,64,,0.46875,,1.3130168914794922
1,69,,0.59375,,1.1956137418746948
1,74,,0.65625,,1.238309383392334
1,79,,0.78125,,1.1556546688079834
1,84,,0.78125,,1.06969153881073
1,89,,0.65625,,1.090274691581726
1,94,,0.6875,,0.9221608638763428
1,99,,0.59375,,1.0761140584945679
1,104,,0.65625,,0.9507687091827393
1,109,,0.625,,0.9252234697341919
1,114,,0.6875,,0.8467236161231995
1,119,,0.71875,,0.8464877605438232
1,124,,0.65625,,0.9093347191810608
1,125,0.6850000023841858,,1.0397756099700928,
