epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.28125,,1.600522756576538
0,9,,0.28125,,1.5965477228164673
0,14,,0.3125,,1.5763452053070068
0,19,,0.34375,,1.5699925422668457
0,24,,0.40625,,1.558151125907898
0,29,,0.40625,,1.5485100746154785
0,34,,0.4375,,1.5166162252426147
0,39,,0.375,,1.4975273609161377
0,44,,0.5,,1.4700309038162231
0,49,,0.53125,,1.4625637531280518
0,54,,0.34375,,1.488673210144043
0,59,,0.5625,,1.356480360031128
0,62,0.375,,1.5272310972213745,
1,64,,0.5625,,1.318368911743164
1,69,,0.53125,,1.2919172048568726
1,74,,0.5625,,1.236692190170288
1,79,,0.65625,,1.1636195182800293
1,84,,0.71875,,1.1260877847671509
1,89,,0.75,,1.023470401763916
1,94,,0.84375,,0.8772836327552795
1,99,,0.6875,,1.049965739250183
1,104,,0.71875,,0.9612607955932617
1,109,,0.75,,0.8713177442550659
1,114,,0.6875,,0.8096590042114258
1,119,,0.78125,,0.7726662158966064
1,124,,0.65625,,0.970770537853241
1,125,0.6794999837875366,,1.0549745559692383,
