epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.21875,,1.6047015190124512
0,9,,0.25,,1.5958263874053955
0,14,,0.40625,,1.590787410736084
0,19,,0.34375,,1.559906005859375
0,24,,0.34375,,1.5675344467163086
0,29,,0.5,,1.5082080364227295
0,34,,0.28125,,1.5408320426940918
0,39,,0.5,,1.4897270202636719
0,44,,0.5,,1.4685921669006348
0,49,,0.5625,,1.4337236881256104
0,54,,0.40625,,1.4904097318649292
0,59,,0.5,,1.3877294063568115
0,62,0.4050000011920929,,1.5173802375793457,
1,64,,0.5625,,1.3218449354171753
1,69,,0.8125,,1.1979577541351318
1,74,,0.625,,1.2191325426101685
1,79,,0.84375,,1.1216847896575928
1,84,,0.6875,,1.023010015487671
1,89,,0.6875,,1.0482243299484253
1,94,,0.84375,,0.8365745544433594
1,99,,0.6875,,0.9779046773910522
1,104,,0.71875,,0.8792774677276611
1,109,,0.8125,,0.8588191270828247
1,114,,0.6875,,0.8574528694152832
1,119,,0.6875,,0.8594306707382202
1,124,,0.59375,,1.0019361972808838
1,125,0.718500018119812,,1.018028736114502,
